id;cswidth;csheight
0;0.9027573862;0.9027573862
1;0.9821570575;0.9821570575
2;0.8631036168;0.8631036168
3;0.735100185;0.735100185
4;0.7333374239;0.7333374239
5;0.7646840921;0.7646840921
6;0.7629620151;0.7629620151
7;0.7401951865;0.7401951865
8;1.059496616;1.059496616
9;0.6708409264;0.6708409264
10;0.6737854196;0.6737854196
11;0.4112755108;0.4112755108
12;0.4943361227;0.4943361227
13;0.4822410663;0.4822410663
14;0.4758244451;0.4758244451
15;0.5346782594;0.5346782594
16;0.4655859431;0.4655859431
17;0.5182052697;0.5182052697
18;0.534226017;0.534226017
19;0.4983977464;0.4983977464
20;0.5877196634;0.5877196634
21;0.6033284832;0.6033284832
22;0.6687492566;0.6687492566
23;0.6619999899;0.6619999899
24;0.5094335514;0.5094335514
25;0.4796106161;0.4796106161
26;0.5729615143;0.5729615143
27;0.42;0.42
28;0.8728237694;0.8728237694
29;1.803555187;1.803555187
30;0.6741456788;0.6741456788
31;0.486792344;0.486792344
32;0.7323726282;0.7323726282
33;0.7318507867;0.7318507867
34;0.6704026137;0.6704026137
35;0.5237720815;0.5237720815
36;0.6452013069;0.6452013069
37;0.8207272933;0.8207272933
38;0.724186492;0.724186492
39;0.8338470104;0.8338470104
40;0.8511206631;0.8511206631
41;0.6908585752;0.6908585752
42;0.6039469648;0.6039469648
43;0.7728015284;0.7728015284
44;0.6195481793;0.6195481793
45;0.6310157315;0.6310157315
46;0.7213045428;0.7213045428
47;0.8991988247;0.8991988247
48;0.7526000357;0.7526000357
49;0.5394703428;0.5394703428
50;0.4992031021;0.4992031021
51;0.9064485796;0.9064485796
52;0.6394681279;0.6394681279
53;0.5678120975;0.5678120975
54;0.3876341738;0.3876341738
55;0.4260965506;0.4260965506
56;0.6125;0.6125
57;0.6401668858;0.6401668858
58;0.6740349182;0.6740349182
59;0.7178110243;0.7178110243
60;0.7405329244;0.7405329244
61;0.520417671;0.520417671
62;0.6340746267;0.6340746267
63;0.4904018612;0.4904018612
64;0.7639022527;0.7639022527
65;0.4647934519;0.4647934519
66;0.5512855952;0.5512855952
67;0.5251012479;0.5251012479
68;0.5652812102;0.5652812102
69;0.5260033354;0.5260033354
70;0.603490603;0.603490603
71;0.6247629447;0.6247629447
72;0.545760337;0.545760337
73;0.4986616843;0.4986616843
74;0.5725;0.5725
75;0.5001465387;0.5001465387
76;0.5809732447;0.5809732447
77;0.6708704286;0.6708704286
78;0.9208542724;0.9208542724
79;0.761210781;0.761210781
80;0.9563116161;0.9563116161
81;0.6817426971;0.6817426971
82;0.5477158672;0.5477158672
83;0.6411498559;0.6411498559
84;0.6665626628;0.6665626628
85;0.5471810585;0.5471810585
86;1.171948957;1.171948957
87;0.788923731;0.788923731
88;1.058053363;1.058053363
89;0.5491641579;0.5491641579
90;0.4440227045;0.4440227045
91;0.7881834275;0.7881834275
92;0.6075;0.6075
93;0.5742549849;0.5742549849
94;0.9056101365;0.9056101365
95;0.817531491;0.817531491
96;1.046102896;1.046102896
97;1.369231257;1.369231257
98;1.007614668;1.007614668
99;0.5087747723;0.5087747723
100;0.5188867661;0.5188867661
101;0.6331910658;0.6331910658
102;0.4951989147;0.4951989147
103;0.6208129798;0.6208129798
104;0.6569743039;0.6569743039
105;0.5902545823;0.5902545823
106;0.5717582186;0.5717582186
107;1.344442209;1.344442209
108;0.8298733228;0.8298733228
109;0.6650872387;0.6650872387
110;1.166663968;1.166663968
111;1.419095339;1.419095339
112;0.6673879142;0.6673879142
113;0.7591679522;0.7591679522
114;0.5501493713;0.5501493713
115;0.6791667741;0.6791667741
116;0.9689035905;0.9689035905
117;0.5938912485;0.5938912485
118;0.6184611838;0.6184611838
119;0.5195986694;0.5195986694
120;0.6380465735;0.6380465735
121;0.4270469181;0.4270469181
122;0.6405298721;0.6405298721
123;0.35;0.35
124;0.4136008969;0.4136008969
125;0.4101394262;0.4101394262
126;0.27;0.27
127;0.4708050412;0.4708050412
128;0.5235857966;0.5235857966
129;0.7936130888;0.7936130888
130;0.6484506097;0.6484506097
131;0.7935439337;0.7935439337
132;0.932744753;0.932744753
133;0.5247974751;0.5247974751
134;0.5132050873;0.5132050873
135;0.4785529902;0.4785529902
136;0.7670792233;0.7670792233
137;0.5376001511;0.5376001511
138;0.7070343579;0.7070343579
139;0.5788911311;0.5788911311
140;0.4010634874;0.4010634874
141;0.5418827644;0.5418827644
142;0.5761178054;0.5761178054
143;0.7923604165;0.7923604165
144;0.6961392598;0.6961392598
145;0.7407743325;0.7407743325
146;1.007662989;1.007662989
147;0.5555619262;0.5555619262
148;0.4514328322;0.4514328322
149;0.6333760575;0.6333760575
150;0.6128820839;0.6128820839
151;0.6261101966;0.6261101966
152;0.6703673717;0.6703673717
153;0.5825;0.5825
154;0.6587955791;0.6587955791
155;0.5101086941;0.5101086941
156;0.488180684;0.488180684
157;0.8462449824;0.8462449824
158;0.732377337;0.732377337
159;0.9252852965;0.9252852965
160;0.8175;0.8175
161;0.6621689319;0.6621689319
162;0.6872582783;0.6872582783
163;0.5887598448;0.5887598448
164;0.5825128291;0.5825128291
165;0.810237407;0.810237407
166;0.6330816006;0.6330816006
167;0.5380370877;0.5380370877
168;0.7324617667;0.7324617667
169;0.7775386761;0.7775386761
170;1.233276706;1.233276706
171;0.9215099394;0.9215099394
172;1.017827191;1.017827191
173;1.698077066;1.698077066
174;0.3380094462;0.3380094462
175;0.3961425371;0.3961425371
176;0.6303155786;0.6303155786
177;0.6271807102;0.6271807102
178;0.5300847019;0.5300847019
179;0.59;0.59
180;0.635;0.635
181;0.7233252766;0.7233252766
182;0.4445704822;0.4445704822
183;0.4788311311;0.4788311311
184;0.5288480518;0.5288480518
185;0.4969682149;0.4969682149
186;0.43;0.43
187;0.40506401;0.40506401
188;0.8739696173;0.8739696173
189;0.7708102483;0.7708102483
190;0.4802871749;0.4802871749
191;0.5745116611;0.5745116611
192;0.5178666236;0.5178666236
193;0.4699423566;0.4699423566
194;0.5026221972;0.5026221972
195;0.5733025688;0.5733025688
196;0.51;0.51
197;0.6690922472;0.6690922472
198;0.7520298989;0.7520298989
199;0.7024059085;0.7024059085
200;0.6029418248;0.6029418248
201;0.5056400314;0.5056400314
202;0.9627039291;0.9627039291
203;0.6259487777;0.6259487777
204;0.6425;0.6425
205;0.3725;0.3725
206;0.4945716797;0.4945716797
207;0.4563366475;0.4563366475
208;0.7294469748;0.7294469748
209;0.9660406129;0.9660406129
210;0.97;0.97
211;0.6060776519;0.6060776519
212;0.4430405675;0.4430405675
213;0.625;0.625
214;0.671177678;0.671177678
215;0.805569702;0.805569702
216;0.8930181776;0.8930181776
217;1.187498952;1.187498952
218;0.5658095168;0.5658095168
219;0.6216361574;0.6216361574
220;0.5799598952;0.5799598952
221;0.6085751724;0.6085751724
222;0.6562950471;0.6562950471
223;0.6918218489;0.6918218489
224;1.06;1.06
225;0.9155680529;0.9155680529
226;0.74;0.74
227;0.6197473217;0.6197473217
228;0.7750636994;0.7750636994
229;0.7145993877;0.7145993877
230;0.9656546108;0.9656546108
231;1.154878364;1.154878364
232;1.03;1.03
233;0.6988077674;0.6988077674
234;1.09967547;1.09967547
235;1.04092547;1.04092547
236;0.8551465213;0.8551465213
237;0.67;0.67
238;0.5361252876;0.5361252876
239;0.4929181799;0.4929181799
240;0.5862666078;0.5862666078
241;0.5566693647;0.5566693647
242;0.4094086584;0.4094086584
243;0.5861290723;0.5861290723
244;0.7048976323;0.7048976323
245;0.9370852289;0.9370852289
246;0.7783679516;0.7783679516
247;0.8088977137;0.8088977137
248;0.9370277989;0.9370277989
249;0.4496264348;0.4496264348
250;0.5103870936;0.5103870936
251;0.5791706782;0.5791706782
252;0.9915625339;0.9915625339
253;1.903992303;1.903992303
254;1.514257148;1.514257148
255;0.8228689392;0.8228689392
256;0.6979705736;0.6979705736
257;1.166364265;1.166364265
258;0.7691025388;0.7691025388
259;0.5825;0.5825
260;1.083489071;1.083489071
261;0.7121777211;0.7121777211
262;0.9137950683;0.9137950683
263;0.9761526384;0.9761526384
264;0.8960928189;0.8960928189
265;0.728077214;0.728077214
266;0.8685875499;0.8685875499
267;0.5203255822;0.5203255822
268;0.5498827401;0.5498827401
269;0.6189398891;0.6189398891
270;0.5387909079;0.5387909079
271;0.8384550232;0.8384550232
272;1.492807804;1.492807804
273;0.4490927366;0.4490927366
274;0.8380811546;0.8380811546
275;0.7473407666;0.7473407666
276;0.59219706;0.59219706
277;0.74609853;0.74609853
278;1.263438694;1.263438694
279;1.088055631;1.088055631
280;0.6109457765;0.6109457765
281;0.72;0.72
282;1.21509155;1.21509155
283;1.444403092;1.444403092
284;1.717287072;1.717287072
285;1.200680676;1.200680676
286;0.4948821008;0.4948821008
287;0.501433611;0.501433611
288;0.5142433813;0.5142433813
289;0.6558557437;0.6558557437
290;0.5584718034;0.5584718034
291;0.6153755644;0.6153755644
292;0.9001702127;0.9001702127
293;0.8250805807;0.8250805807
294;0.5937108391;0.5937108391
295;0.5527915271;0.5527915271
296;0.5054031757;0.5054031757
297;0.5106408852;0.5106408852
298;0.484923822;0.484923822
299;0.5342831842;0.5342831842
300;0.6279462533;0.6279462533
301;0.7193796444;0.7193796444
302;0.4361443119;0.4361443119
303;0.6506044718;0.6506044718
304;0.4866163301;0.4866163301
305;0.4993054602;0.4993054602
